City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Galesong,ID,75.2,moderate rain,-5.32,119.37,Sapriadi Appy
530,Weligama,LK,76.68,overcast clouds,5.97,80.42,Weligama Bay Resort
531,Sambava,MG,76.91,clear sky,-14.27,50.17,Melrose
535,Pueblo Rico,CO,78.8,scattered clouds,5.24,-76.04,Hotel Don Pedro
538,Fomboni,KM,83.52,clear sky,-12.28,43.74,Auberge les abou
542,Sao Filipe,CV,71.71,overcast clouds,14.9,-24.5,Tortuga B&B
543,Caravelas,BR,81.14,few clouds,-17.71,-39.25,Pousada dos Navegantes
553,San Vicente,AR,83.68,overcast clouds,-26.62,-54.13,Complejo Turístico Farelluk
558,Phan Thiet,VN,73.76,overcast clouds,10.93,108.1,Hotel Saigon-PT
559,Kandrian,PG,77.47,broken clouds,-6.22,149.55,Kandrian Station
560,Richards Bay,ZA,72.57,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
562,Inirida,CO,82.47,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
564,Ghanzi,BW,80.71,overcast clouds,-21.57,21.78,Ghanzi Farmhouse
569,Lazaro Cardenas,MX,84.02,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
573,Kapit,MY,74.26,overcast clouds,2.02,112.93,Hotel Meligai Kapit
574,Amuntai,ID,73.96,overcast clouds,-2.42,115.25,Hotel Balqis
575,Praya,CV,73.4,broken clouds,14.92,-23.51,LT Aparthotel
578,Petrolina De Goias,BR,84.2,light rain,-16.09,-49.34,Hotel Santa Rita
583,Mattru,SL,77.31,clear sky,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
585,Tucurui,BR,85.8,light rain,-3.77,-49.67,BBB Rooms Centro Tucurui PA
592,Innisfail,AU,77.86,moderate rain,-17.53,146.03,Moondarra Motel
593,Sibolga,ID,76.08,light rain,1.74,98.78,Hotel Syariah CN Darussalam
595,Guayaramerin,BO,77.0,heavy intensity rain,-10.84,-65.36,Hostal Funf
598,Tagusao,PH,79.16,overcast clouds,9.19,117.81,Toledo
599,Gambela,ET,83.3,clear sky,8.25,34.58,Solomon Debebe Hotel
600,Palmares Do Sul,BR,77.72,clear sky,-30.26,-50.51,Restaurante e Pensão Lopes
601,Brisbane,AU,71.6,broken clouds,-27.47,153.03,Royal On The Park Brisbane
602,Soledade,BR,84.2,few clouds,-28.82,-52.51,Pousada Da Gringa
604,Kolokani,ML,77.25,clear sky,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
605,Puerto Maldonado,PE,93.2,moderate rain,-12.6,-69.18,Wasai Hotel
606,Odienne,CI,79.09,broken clouds,9.51,-7.57,Oustaz Vame DIAKITE
607,Rocafuerte,EC,84.2,broken clouds,-0.92,-80.43,"Complejo turístico deportivo ""Mis Brads"""
